Property,Alternate Name,Description,Address,Historic District,Construction Date,the_geom,Longitude,Latitude,Photo,Images,Additional Information
Little Rock Arsenal,Mcarthur Military Museum,"The Arsenal Building at 503 E 9th was built in 1840 and served as such until 1861.  After the Civil War, it provided housing for soldiers and their families.   General Douglas MacArthur, the supreme allied commander of the Southwest Pacific Theater during World War II, was born at the arsenal in 1880.  After being closed as a military base, the land was deeded to the City for use as a park in perpetuity.  The structure was listed on the National Register of Historic Places on 7/28/1970.",503  E 9th,Macarthur Park Historic District,1840,POINT (-92.265337389869 34.73839175284),-92.26533739,34.73839175,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3150/PU3150.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3150/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3150/PU3150_ai.pdf
Lamb-Mcswain House,,"The Lamb-McSwain House, located at 2124 Rice Street, is a Craftsman Bungalow style house. Listed in the National Register of Historic Places in 6/4/1998, it was constructed in 1926 by John W. Lamb, the owner, and Ellard Lamb, his brother,  from mail order blue prints from Ye Planry Architects of Dallas, Texas.  This one-story, brick home was later owned by Lamb’s daughter, Bernice Lamb McSwain.  A gabled roof, detailed with exposed rafters and a brick chimney, caps the house.",2124  S Rice,,1926,POINT (-92.301054410863 34.728982251453),-92.30105441,34.72898225,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9974/PU9974.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9974/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9974/PU9974_ai.pdf
"Taylor, Samuel P Service Station",Audio-Visual Communications,The Samuel P. Taylor Service Station is located at the comer of Cross Street and West Third Street in downtown Little Rock. The building was constructed in 1938 on a lot previously owned by the Cross Street Christian Church where the church had partially built a building. John Saunders was hired to build a service station on the site. In 1938 the Samuel P. Taylor Service Station opened its doors to motorists.  The structure was listed on the National Register of Historic Places on 11/29/2000.,1123  W 3rd,,1938,POINT (-92.283641238893 34.747599200788),-92.28364124,34.7475992,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4619/PU4619.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4619/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4619/PU4619_ai.pdf
Confederate Soldier's Monument,,"The Confederate Soldiers Monument is also known as “Defense of the Flag” and the “Arkansas Sons of the Confederacy Memorial”. The bronze soldier was created by Fredrick Ruckstuhl.  The bronze angel stands barefoot on a sphere at the top of the monument.  A. Durenne is also credited with work on the monument. It was built in 1905.  It was placed on the National Register of Historic Places on April 26, 1996.",400 Woodlane,,1905,POINT (-92.288099200793 34.747404774321),-92.2880992,34.74740477,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4768S/PU4768S.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4768S/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4768S/PU4768S_ai.pdf
Remmel Apartments,Remmel Duplex #1,"Designed in 1917 by Thompson and Harding, this apartment house is located on a narrow lot facing West 17th Street in Little Rock. It is the third Remmell Apartment house. It has a Craftsman architect style. The unit, although multi-family, has the appearance of a single-unit dwelling. The structure was listed on the National Register of Historic Places on 12/22/1982.",409  W 17th,Governor's Mansion Historic District,1917,POINT (-92.277545650256 34.732800989863),-92.27754565,34.73280099,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1272/PU1272.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1272/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1272/PU1272_ai.pdf
Prospect Terrace Apartments,,"The Prospect Terrance Apartments, located at 3603 Kavanaugh Boulevard, is an International style structure. Listed in the National Register of Historic Places in 1-9-2002, it was designed by architect Edwin B. Cromwell and constructed in 1947.  This three-story building has a brick façade and a flat roof to give it a modern look.  The apartment complex features a “U” shape design and is located in the Hillcrest neighborhood.",3601  Kavanaugh,,1947,POINT (-92.331796423346 34.762177242004),-92.33179642,34.76217724,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3317/PU3317.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3317/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3317/PU3317_ai.pdf
Little Rock High School,Central High School,"The Little Rock Central High School, at 1500 Park Street, is a Gothic Revival style structure. Listed in the National Register of Historic Places in 8/19/77, it was designed by architects George R. Mann, Eugene John Stern, John Parks Almand, George H. Wittenberg, and Lawson L. Delony and constructed in 1927.  The four-story brick building was the famous site of integration where nine black children were enrolled in a white high school after “Brown vs. Board of Education” outlawed separate but equal. On 5/20/1982, it was listed as a National Historic Landmark.",1500  S Park St,Central High School Neighborhood Historic District,1927,POINT (-92.298819123744 34.736847475671),-92.29881912,34.73684748,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3240/PU3240.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3240/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3240/PU3240_ai.pdf
Terminal Warehouse Building,,The Terminal Warehouse Building (now known as the Markham Tower East) is in the area of downtown Little Rock that was the city’s warehouse and manufacturing center. The building was built in 1926 and designed by architect Eugene Stern in the Venetian Gothic style.  The building is extremely broad with an eight story elaborate towner in the center of the south façade.  The structure was listed on the National Register of Historic Places on 4/29/1982.,500  President Clinton,,1926,POINT (-92.264695713846 34.747666232092),-92.26469571,34.74766623,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3164/PU3164.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3164/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3164/PU3164_ai.pdf
Johnson House #1,Cromwell Court Apartments,"The Johnson House, now known as part of the Cromwell Court Apartments, located at 514 East 8th Street, is a Colonial Revival style house. Listed in the National Register of Historic Places in 12/22/1982, it was designed by noted architect Charles L. Thompson and constructed in 1900.  This house is one of the three rent houses on this street that he designed.  A hipped roof with a centered dormer tops this two-story weatherboard house. A covered porch sustained by Ionic pillars frames the front entrance to the house.",514  E 8th,Macarthur Park Historic District,1900,POINT (-92.266301218253 34.740774030963),-92.26630122,34.74077403,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2840/PU2840.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2840/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2840/PU2840_ai.pdf
Little Rock City Hall,,"The Little Rock City Hall, at 500 Markham Street, is a Renaissance Revival style structure. Listed in the National Register of Historic Places in 10/18/1979, it was designed by renowned architect Charles L Thompson and constructed in 1907.  City Hall was built to be a symbol of refinement and is one of the city’s most historic government buildings.  In 1960, the building was remodeled which included lowering the ceilings and bricking in the windows.  The late 1980s remodel reversed that with windows that are similar to the original.",500  W Markham,,1907,POINT (-92.275551929329 34.749085961528),-92.27555193,34.74908596,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3239/PU3239.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3239/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3239/PU3239_ai.pdf
Dunbar Jr & Sr High School & Junior College,Dunbar Magnet Middle School,"The Dunbar Junior and Senior High School and Junior College, also known as Dunbar High School, located on the corner of Wright Avenue and Ringo, is an Art Deco style building built for African Americans during the era of segregation.  Listed in the National Register of Historic Places in 8/6/1980, it was designed by architects George H. Wittenberg and Lawson L. Delony and constructed in 1929.  Black teachers at this school fought for the same pay as the white teachers received which was resolved in 149 F. 2d 703 Morris v. Williams.",1100  Wright Ave,Paul Laurence Dunbar School Neighborhood Historic District,0,POINT (-92.286145773086 34.732394814065),-92.28614577,34.73239481,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3232/PU3232.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3232/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3232/PU3232_ai.pdf
Lafayette Hotel,,"The Lafayette Hotel was designed by St. Louis architect, George Barnett. The structure was listed on the National Register of Historic Places on 9/30/1982. The hotel opened in 1925.  Paul Heerwagen was the interior designer. Because of reduced business caused by the depression, the hotel had to close in 1933. John Oehrlie, a partner of Heerwagen’s, redesigned the interior of the hotel in 1941. In 1941 the hotel was able to reopen because of the need for hotel rooms due to World War II traveling. After several success years the hotel was no longer profitable and closed for a final time in 1973.",523  S Louisiana,Capitol-Main Historic District,1925,POINT (-92.272134058284 34.743511259755),-92.27213406,34.74351126,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0234/PU0234.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0234/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0234/PU0234_ai.pdf
Lake Nixon,,"Lake Nixon, located at 18500 Cooper Orbit Road, was listed in the National Register of Historic places on June 5, 2017.  Lake Nixon is a preserved example of a site associated with a national-level desegregation case, brought to the United States Supreme Court, that inevitably set the precedent for entertainment and recreation establishments to not be able to discriminate based on race, and were found to be subject to Title II of the 1964 Civil Rights Act.",18500 Cooper Orbit Rd,,,POINT (-92.433958570367 34.718446026188),-92.43395857,34.71844603,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU10111/PU10111.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU10111/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU10111/PU10111_ai.pdf
Choctaw Route Station,,"The Choctaw Route Station is located at 101 E. 3rd St. and was built in 1899. It was listed in the National Register of Historic Places on 05-06-1975. It has the influence of Louis Henry Sullivan. The station belonged to the Oklahoma and Gulf Railroad. In 1902 the station was sold to Rock Island Railroad. In 2004, the station became part of the William Jefferson Clinton Presidential Library and Park.",1010 E 3rd,,0,POINT (-92.259057241959 34.745522880996),-92.25905724,34.74552288,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3139/PU3139.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3139/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3139/PU3139_ai.pdf
Croxson House,,"The Croxson House, at 1901 Gaines Street, is a Dutch Colonial style. Listed in the National Register of Historic Places in 12/22/1982, it was designed by distinguished architect Charles L. Thompson and constructed in 1908.  A clipped-gable roof is supported by five Tuscan columns that surround the front and side porch of this two story house.",1901  S Gaines,Governor's Mansion Historic District,1908,POINT (-92.280722495176 34.730596503304),-92.2807225,34.7305965,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1598/PU1598.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1598/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1598/PU1598_ai.pdf
Luxor Apartments,,"The Luxor Apartments, located at 1923 Main Street, is a Craftsman style building. Listed in the National Register of Historic Places in 4/7/1995, it was constructed in 1924 by Samuel J. Storthz, Sr., a well-known Arkansas businessman.  This brick, two-story was designed in the shape of a “U” and was at the time of construction, the largest apartment complex in the city with 28 apartments.  Living in this building was a sign of status when it was first built.  It came with newest appliances and even a doorman.",1923  S Main,South Main Residential Historic District,1924,POINT (-92.273252123746 34.729947969482),-92.27325212,34.72994797,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9993/PU9993.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9993/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9993/PU9993_ai.pdf
